#AdjRefG: Iteration 21 number of channels 4
# col 1: real part of sumprofile
# col 2: imag part of sumprofile
# col 3 - col 2*nchan+2: real, imag parts of profiles on different channels
  -8.830499E+01    2.735923E+02   -8.662290E+01    2.864588E+02  -8.944319E+01    5.755187E+01   -1.458542E+02    7.302253E+01    2.712615E+01    1.469416E+02   -1.849075E+02    1.853857E+01    1.523639E+01   -1.051458E+02    4.462201E+01    3.291971E+01   -4.122434E+01    1.742447E+02    1.995168E+02    1.619780E+02 
  -9.143292E+01    2.302337E+02   -1.377855E+02    3.307541E+02  -8.666609E+01    1.732393E+01   -1.768282E+02    1.349827E+02    5.246269E+01    1.263591E+02   -1.844852E+02    1.866019E+01    3.453193E-02   -9.732607E+01    3.623264E+01    3.752389E+01   -5.726405E+01    1.838767E+02    1.872952E+02    1.395873E+02 
  -8.179582E+01    1.856813E+02   -1.886415E+02    3.624393E+02  -7.533567E+01   -2.847286E+01   -1.977384E+02    1.877290E+02    6.434092E+01    1.027194E+02   -1.751422E+02    2.108462E+01   -1.365687E+01   -7.832784E+01    2.778902E+01    4.520591E+01   -5.714419E+01    1.897626E+02    1.564501E+02    1.084198E+02 
  -6.528477E+01    1.400070E+02   -2.304262E+02    3.748541E+02  -5.884722E+01   -7.656211E+01   -2.054980E+02    2.224411E+02    6.285187E+01    7.702773E+01   -1.564768E+02    2.673564E+01   -2.580158E+01   -5.120827E+01    1.691300E+01    5.361752E+01   -4.348784E+01    1.907496E+02    1.146356E+02    7.205977E+01 
  -4.984163E+01    9.311101E+01   -2.569888E+02    3.643636E+02  -4.138181E+01   -1.225074E+02   -1.989059E+02    2.336622E+02    4.985308E+01    4.979071E+01   -1.299733E+02    3.585139E+01   -3.627297E+01   -2.053843E+01    1.239246E+00    6.038961E+01   -2.203993E+01    1.863662E+02    7.065112E+01    3.446036E+01 
  -4.283423E+01    4.530509E+01   -2.660590E+02    3.315860E+02  -2.663593E+01   -1.611531E+02   -1.788910E+02    2.205883E+02    2.824983E+01    2.104372E+01   -9.857355E+01    4.820302E+01   -4.473606E+01    8.665739E+00   -2.068959E+01    6.347095E+01    2.879321E-01    1.767488E+02    3.209516E+01   -6.762985E-01 
  -4.842128E+01   -2.522235E+00   -2.592946E+02    2.813593E+02  -1.672558E+01   -1.876720E+02   -1.484575E+02    1.870037E+02    1.369070E+00   -9.341197E+00   -6.583604E+01    6.329584E+01   -5.066694E+01    3.203834E+01   -4.868764E+01    6.132888E+01    1.760217E+01    1.624527E+02    3.686558E+00   -3.026915E+01 
  -6.586500E+01   -4.912551E+01   -2.411309E+02    2.215042E+02  -1.165044E+01   -1.989152E+02   -1.122911E+02    1.399607E+02   -2.742028E+01   -4.117294E+01   -3.497271E+01    8.049971E+01   -5.352747E+01    4.669551E+01   -8.058365E+01    5.302903E+01    2.673319E+01    1.442671E+02   -1.328351E+01   -5.198522E+01 
  -8.946791E+01   -9.328095E+01   -2.168466E+02    1.608388E+02  -9.513494E+00   -1.945464E+02   -7.599285E+01    8.771703E+01   -5.486124E+01   -7.348384E+01   -8.069655E+00    9.911760E+01   -5.302890E+01    5.161756E+01   -1.124319E+02    3.824159E+01    2.793573E+01    1.231318E+02   -2.035222E+01   -6.423741E+01 
  -1.102712E+02   -1.340426E+02   -1.905332E+02    1.070983E+02  -7.426536E+00   -1.774441E+02   -4.498320E+01    3.764268E+01   -7.789338E+01   -1.043137E+02    1.429786E+01    1.184307E+02   -4.936393E+01    4.754000E+01   -1.393029E+02    1.722490E+01    2.441261E+01    1.001752E+02   -2.054492E+01   -6.619998E+01 
